,name,locality,latitude,longitude,cuisines,average_cost_for_two,aggregate_rating,votes,rating_text
0,Namo Sandwich,Sudama Nagar,22.69633146,75.83485689,Fast Food,500,4.3,860,Very Good
1,Bake N Shake,"BCM Heights, Vijay Nagar",22.75570457,75.89528706,"Cafe, Fast Food, Bakery",500,4.2,683,Very Good
2,Shree Gurukripa,Sarwate Bus Stand,22.71408953,75.86885054,North Indian,350,4.3,2030,Very Good
3,Nafees Restaurant,Old Palasia,22.72571214,75.88775709,"North Indian, Mughlai",800,4.3,2987,Very Good
4,Hotel Guru Kripa,Sarwate Bus Stand,22.71408551,75.86884584,North Indian,350,4.3,3441,Very Good
5,Shree Gurukripa,Vijay Nagar,22.75322076,75.9021484,North Indian,500,4.1,1451,Very Good
6,Hotel Guru Kripa Avenue,Sarwate Bus Stand,22.71409403,75.86911564,North Indian,350,4.1,1354,Very Good
7,Maa Ki Rasoi,Sudama Nagar,22.6846581,75.82895,"North Indian, South Indian",450,4.1,541,Very Good
8,Apna Sweets,Vijay Nagar,22.74956011,75.89528974,"Mithai, North Indian, South Indian, Beverages",400,4.3,2619,Very Good
9,Dutt Guru Kripa,South Tukoganj,22.71977664,75.87688342,"North Indian, Fast Food",450,4.1,1261,Very Good
10,Oye24,HIG-LIG,22.73416947,75.87423574,"North Indian, Chinese",250,4.1,1460,Very Good
11,Mitti - Organic. Fresh. Desi.,Old Palasia,22.72509334,75.89026932,"Cafe, North Indian",600,4.3,590,Very Good
12,SD 21 - Hotel Somdeep Palace," Hotel Somdeep Palace, Vijay Nagar",22.75003503,75.90348154,"North Indian, Chinese",1100,4.6,959,Excellent
13,Sagar Gaire,New Palasia,22.72554639,75.88351585,"South Indian, North Indian, Fast Food",450,4.1,2932,Very Good
14,Domino's Pizza,"Sapna Sangeeta Mall, Sapna Sangeeta",22.69901566,75.86720265,"Pizza, Fast Food",400,3.9,1437,Good
15,Cravings - Sayaji Hotel,"Sayaji Hotel, Vijay Nagar",22.75243589,75.88778827,"North Indian, Chinese, Italian",1800,4.7,658,Excellent
16,Hotel Rajhans,Sarafa Bazaar,22.71785828,75.85122675,North Indian,400,4,1972,Very Good
17,Hotel Zakir,Khajrana,22.73306955,75.91415506,North Indian,300,4.1,738,Very Good
18,The Cube - Hotel Effotel,"Hotel Effotel, Vijay Nagar",22.75003751,75.90347484,"North Indian, Chinese, Italian",1200,4.8,518,Excellent
19,Apna Sweets,Sapna Sangeeta,22.69974624,75.86668465,"Mithai, North Indian, South Indian, Beverages",400,4,1849,Very Good
20,Domino's Pizza,Old Palasia,22.72560422,75.8944482,"Pizza, Fast Food",400,3.9,738,Good
21,99 Rotiwala,HIG-LIG,22.73821875,75.88737186,North Indian,500,4.2,2517,Very Good
22,Madhuram Sweets,"56 Dukan, New Palasia",22.72408302,75.88479862,"Chinese, Mithai",300,4,659,Very Good
23,Kebabsville - Sayaji Hotel,"Sayaji Hotel, Vijay Nagar",22.75244733,75.88778928,"North Indian, Bar Food",1500,4.9,1346,Excellent
24,Shreemaya Celebration,"Hotel Shreemaya, RNT Marg",22.71538229,75.87409124,"Bakery, North Indian, South Indian, Fast Food",600,4.6,782,Excellent
25,Hotel Madni Darbar,Sarwate Bus Stand,22.71490539,75.86858734,North Indian,300,3.9,890,Good
26,Apna Sweets,Old Palasia,22.72568153,75.89197587,"Mithai, North Indian, South Indian, Beverages",400,4.2,1543,Very Good
27,Domino's Pizza,Vijay Nagar,22.75241022,75.89099485,"Pizza, Fast Food",400,3.8,792,Good
28,The Monroe,New Palasia,22.72673018,75.88414416,"Italian, Chinese, North Indian",900,4.4,728,Very Good
29,Singh Sahab,Sapna Sangeeta,22.69605215,75.86003143,"North Indian, Chinese",600,3.9,1150,Good
30,Taberna - The Cafe Bar,Vijay Nagar,22.74522609,75.90370987,"Italian, North Indian, Chinese",1400,4.4,722,Very Good
31,Mangosteen Cafe,New Palasia,22.72731805,75.88403452,Cafe,800,4,912,Very Good
32,KFC,"Malhar Mega Mall, Vijay Nagar",22.74097881,75.89500375,"Burger, Fast Food",450,4,774,Very Good
33,Tic Tac Toe,Vijay Nagar,22.75577104,75.89530483,"North Indian, Chinese, Fast Food",1200,4.4,418,Very Good
34,Indore Kitchen - Indore Marriott Hotel,"Indore Marriott Hotel, Vijay Nagar",22.75294944,75.88340923,"North Indian, Italian, Asian, Fast Food",1800,4.4,634,Very Good
35,Dilli Darbar Family Restaurant,Old Palasia,22.7238415,75.88701881,"Chinese, North Indian",750,3.9,508,Good
36,Mocha,YN Road,22.73218329,75.8749358,"Cafe, Continental, Italian, Street Food",800,4.2,989,Very Good
37,Rasgulla House,Geeta Bhavan,22.7185767,75.88595599,Mithai,100,4.3,829,Very Good
38,Gyaniji Ka Khalsa Dhaba,Bhawar Kuan,22.69285505,75.86704507,"North Indian, Chinese",400,3.9,897,Good
39,Pishori Restaurant,Sapna Sangeeta,22.69859562,75.86435147,"North Indian, Chinese, Mughlai",800,4,1257,Very Good
40,Banana Leaf,"Malhar Mega Mall, Vijay Nagar",22.74484886,75.89457929,"South Indian, North Indian",800,4.3,831,Very Good
41,Apna Sweets,Annapurna Road,22.68848891,75.8368082,"Mithai, North Indian, South Indian, Beverages",400,3.8,1444,Good
42,"Raja Ram - Dhaba, Sweets & Namkeen",Vijay Nagar,22.77285,75.902185,"North Indian, Mithai, Street Food",200,4.1,457,Very Good
43,Patissez,Vijay Nagar,22.7478682,75.89486964,"Continental, Desserts",1000,4.3,530,Very Good
44,Shiva Chinese Wok,Old Palasia,22.72299755,75.89690879,"Chinese, Fast Food",300,4.1,412,Very Good
45,Old Kolkata Roll Club,New Palasia,22.72467121,75.88415589,"Chinese, Rolls",250,4.1,458,Very Good
46,Tinku Everfresh,Vijay Nagar,22.75671249,75.88739164,"Sandwich, Fast Food, Beverages",450,4.2,1054,Very Good
47,Mama Loca,New Palasia,22.72821918,75.88418338,"Continental, Italian",1100,4.3,625,Very Good
48,Hobnob Gourmet Cafébar,"Infiniti Hotel, Vijay Nagar",22.75004029,75.90347383,"Continental, Italian, North Indian",1950,4.6,1028,Excellent
49,KFC,RNT Marg,22.7139318,75.87478627,"Burger, Fast Food",450,3.8,745,Good
50,O2 Cafe De La Ville,New Palasia,22.72744979,75.88585541,"Cafe, Fast Food",900,4.1,681,Very Good
51,Guru Kripa,Rau,22.62061635,75.80065135,North Indian,300,3.9,620,Good
52,Just Paratha,Bhawar Kuan,22.69011165,75.86425994,"North Indian, Fast Food",250,4,740,Very Good
53,Just My Bakes,Vijay Nagar,22.76006083,75.89254785,"Cafe, North Indian, Bakery",700,4,771,Very Good
54,Mr. Beans,Old Palasia,22.72318186,75.8979173,"Cafe, French, Italian",800,4.3,715,Very Good
55,Cafe Chapter One,Vijay Nagar,22.75841728,75.90491217,"Cafe, Italian, Fast Food",750,4.5,307,Excellent
56,Shreemaya Celebration,Rajendra Nagar,22.66956459,75.83192121,"Bakery, North Indian, South Indian, Fast Food",500,4.3,465,Very Good
57,Tinku's,Bhawar Kuan,22.69337625,75.86730693,"Sandwich, Fast Food, Beverages",450,4,884,Very Good
58,Oye24,Manik Bagh Road,22.708502,75.855355,"North Indian, Chinese",250,3.7,568,Good
59,Cafe Terazza,Vijay Nagar,22.74499975,75.89212708,"Cafe, Italian, Chinese",900,3.9,988,Good
60,Bollywood Theka,"Infiniti Hotel, Vijay Nagar",22.75004369,75.90347618,"North Indian, Fast Food, Finger Food",1300,4.4,1119,Very Good
61,Mustang - Hotel Somdeep Palace," Hotel Somdeep Palace, Vijay Nagar",22.7500341,75.90348221,"North Indian, Chinese",1500,4.7,1254,Excellent
62,Pizza Hut,Sapna Sangeeta,22.69985944,75.86841468,"Pizza, Fast Food, Italian",700,3.6,538,Good
63,Johny Hot Dog,"56 Dukan, New Palasia",22.72551299,75.88435136,"Fast Food, Street Food",150,4.5,1650,Excellent
64,Just My Bakes,Sudama Nagar,22.69346719,75.82868747,"Cafe, North Indian, Bakery",700,3.8,275,Good
65,Hotel Shree Leela,Sapna Sangeeta,22.69968994,75.86681005,North Indian,400,3.8,849,Good
66,Chill Baby,Old Palasia,22.72579069,75.89463327,"Fast Food, Chinese, Pizza",400,3.9,486,Good
67,Cafe Yolo,Vijay Nagar,22.76162707,75.88633049,"Cafe, Fast Food",650,4.1,692,Very Good
68,JMB,Manik Bagh Road,22.70850209,75.85467305,"Chinese, Fast Food, Desserts",400,4.1,489,Very Good
69,Chick N Serve,Khajrana,22.73368244,75.90231411,"Lebanese, North Indian, Chinese",800,4.1,848,Very Good
70,Pizza Hut,"Malhar Mega Mall, Vijay Nagar",22.74098097,75.89501213,"Pizza, Fast Food, Italian",700,3.3,480,Average
71,Food 4 Foodie,HIG-LIG,22.73627561,75.90043791,"North Indian, Fast Food",450,3.7,663,Good
72,Vijay Chaat House,"56 Dukan, New Palasia",22.72373604,75.88471279,Street Food,100,4.8,598,Excellent
73,Ravi Alpahar,Old Palasia,22.72695407,75.89435935,Street Food,100,4.3,642,Very Good
74,Naturals Ice Cream,RNT Marg,22.71819971,75.87213423,"Desserts, Ice Cream",150,4.7,632,Excellent
75,Shree Leela Dal Bafle,Sarwate Bus Stand,22.71390366,75.86915597,North Indian,200,3.9,355,Good
76,The GroundBaking Co.,Vijay Nagar,22.75681884,75.8895582,"Pizza, Continental, Beverages",600,4.4,505,Very Good
77,Behrouz Biryani,Old Palasia,22.72556711,75.8948398,"Biryani, North Indian, Mughlai",700,4.4,700,Very Good
78,Sheetal Restaurant,Sudama Nagar,22.69599122,75.83103508,"North Indian, South Indian",600,3.9,748,Good
79,Parag Bakery & Fast Food,Sudama Nagar,22.68636936,75.82926918,"Bakery, Fast Food",300,4.1,605,Very Good
80,Oiya,New Palasia,22.72591346,75.8822009,Cafe,600,4.4,241,Very Good
81,10 Downing Street,Vijay Nagar,22.74468869,75.89435063,"North Indian, Chinese",1500,4.1,742,Very Good
82,Hotel Shreemaya,"Hotel Shreemaya, RNT Marg",22.7153826,75.87407682,"North Indian, Mughlai, Chinese",1100,4.4,615,Very Good
83,Mukki Ke Zayke,Sapna Sangeeta,22.69760211,75.86748496,Fast Food,150,4.4,730,Very Good
84,Tinku's,YN Road,22.72124778,75.87387331,"Sandwich, Fast Food, Beverages",450,4.2,822,Very Good
85,Little Monk,MR 10 Road,22.7807603,75.86217854,"North Indian, Italian, Chinese",1000,4.2,420,Very Good
86,Chang's Legacy,Vijay Nagar,22.75228686,75.89130901,"Chinese, North Indian",800,4.6,237,Excellent
87,Johny Hot Dog,"56 Dukan, New Palasia",22.72374872,75.88484723,Fast Food,200,4.3,393,Very Good
88,Domino's Pizza,Rajendra Nagar,22.66035144,75.82506549,"Pizza, Fast Food",400,3.8,578,Good
89,JAL - A Jungle Restaurant,Bhawar Kuan,22.65182272,75.88192228,"North Indian, Chinese",850,4.2,622,Very Good
90,Foobae,Old Palasia,22.72324804,75.89555494,"Burger, Beverages, Fast Food, Desserts",300,4.1,516,Very Good
91,Singh Restaurant,Vijay Nagar,22.76151484,75.88674892,"North Indian, Chinese",500,3.8,587,Good
92,Dilli Da Roll,New Palasia,22.72462761,75.88403352,Rolls,400,4.4,569,Very Good
93,Sam's Momos,"56 Dukan, New Palasia",22.72438052,75.88470776,"Momos, Chinese, Rolls, North Indian, Fast Food",500,3.9,505,Good
94,Pind Balluchi,Vijay Nagar,22.75608795,75.89400295,North Indian,1000,3.9,591,Good
95,Tea Shack,Vijay Nagar,22.76268998,75.88715527,"Fast Food, Italian",450,4.2,722,Very Good
96,Via Indore,New Palasia,22.72654401,75.88007391,North Indian,550,3.6,362,Good
97,Delicious Hut,HIG-LIG,22.73201136,75.89133013,North Indian,300,4.1,620,Very Good
98,Madhur Zayka Sweets n Cafe,Annapurna Road,22.69201183,75.83823714,"North Indian, South Indian, Fast Food, Mithai",500,3.8,619,Good
99,Behrouz Biryani,"Mangal City Mall, Vijay Nagar",22.75263624,75.89663655,"Biryani, North Indian, Mughlai",700,4.4,522,Very Good
100,Ethyl Bar - Radisson Blu Hotel,"Radisson Blu Hotel, Vijay Nagar",22.75003441,75.90347685,Finger Food,2600,4.2,105,Very Good
101,Mediterra - Sayaji Hotel,"Sayaji Hotel, Vijay Nagar",22.75244733,75.88778961,"Mediterranean, Italian",2500,4.5,397,Excellent
102,Twilight - Hotel WOW,"Hotel Wow, Vijay Nagar",22.74919217,75.89537524,Bar Food,2400,4.3,169,Very Good
103,The Creative Kitchen - Radisson Blu Hotel,"Radisson Blu Hotel, Vijay Nagar",22.75003472,75.90348355,"North Indian, Continental, Mexican, Italian",2000,4.1,420,Very Good
104,One Asia - Indore Marriott Hotel,"Indore Marriott Hotel, Vijay Nagar",22.75274724,75.88375054,"Chinese, Asian",2000,4.5,320,Excellent
105,F Bar & Kitchen,Vijay Nagar,22.77159792,75.89882758,"Continental, North Indian",2000,3.6,187,Good
106,Hobnob Gourmet Cafébar,"Infiniti Hotel, Vijay Nagar",22.75004029,75.90347383,"Continental, Italian, North Indian",1950,4.6,1028,Excellent
107,Jonathan's Kitchen,By Pass Road (North),22.714512,75.93052659,"North Indian, Italian",1900,4.1,65,Very Good
108,5/78 Skybar,Vijay Nagar,22.76268534,75.88181399,"Japanese, Asian, Mexican, Italian",1875,4.2,65,Very Good
109,Ni Hao - Radisson Blu Hotel,"Radisson Blu Hotel, Vijay Nagar",22.75003008,75.90347148,"Asian, Chinese, Momos",1850,4.6,248,Excellent
110,Indiya Oye - Radisson Blu Hotel,"Radisson Blu Hotel, Vijay Nagar",22.75003534,75.90347953,"North Indian, Kashmiri",1850,4.3,200,Very Good
111,Cravings - Sayaji Hotel,"Sayaji Hotel, Vijay Nagar",22.75243589,75.88778827,"North Indian, Chinese, Italian",1800,4.7,658,Excellent
112,Indore Kitchen - Indore Marriott Hotel,"Indore Marriott Hotel, Vijay Nagar",22.75294944,75.88340923,"North Indian, Italian, Asian, Fast Food",1800,4.4,634,Very Good
113,KYRO,Bhawar Kuan,22.69547435,75.86607277,"North Indian, Chinese, Continental, Mediterranean, Asian",1800,3.7,510,Good
114,Constellation - Hotel WOW,"Hotel Wow, Vijay Nagar",22.74918228,75.89536518,"North Indian, Asian, Italian",1800,4.2,285,Very Good
115,Sky Blue Sports Bar,"C21 Mall, Vijay Nagar",22.74406843,75.89440361,"Finger Food, North Indian, Chinese, Mughlai",1800,3.3,241,Average
116,Sanchi - Sayaji Hotel,"Sayaji Hotel, Vijay Nagar",22.75244763,75.88778928,"North Indian, Chinese",1800,4.3,197,Very Good
117,Not So Desi,Vijay Nagar,22.76260465,75.88182975,North Indian,1600,3.7,171,Good
118,Mr & Mrs Somani - The Grand Bhagwati,The Grand Bhagwati,22.77419933,75.93604356,North Indian,1600,4.4,207,Very Good
119,Kebabsville - Sayaji Hotel,"Sayaji Hotel, Vijay Nagar",22.75244733,75.88778928,"North Indian, Bar Food",1500,4.9,1346,Excellent
120,Mustang - Hotel Somdeep Palace," Hotel Somdeep Palace, Vijay Nagar",22.7500341,75.90348221,"North Indian, Chinese",1500,4.7,1254,Excellent
121,10 Downing Street,Vijay Nagar,22.74468869,75.89435063,"North Indian, Chinese",1500,4.1,742,Very Good
122,Shosha Cafebar,Vijay Nagar,22.74925556,75.89317247,"North Indian, Mexican, Italian",1500,4,250,Very Good
123,Vidorra,Old Palasia,22.72275045,75.88681195,"North Indian, Chinese",1500,4.1,720,Very Good
124,Chopstick City - Sayaji Hotel,"Sayaji Hotel, Vijay Nagar",22.75244733,75.88778928,Chinese,1500,4.5,393,Excellent
125,Farzi Café,Vijay Nagar,22.74993485,75.89675322,"North Indian, Continental",1500,4.2,184,Very Good
126,"#1, Culinary Avenue - The Red Maple","The Red Maple Mashal, Rau",22.61991815,75.80901213,"North Indian, Chinese, Continental",1500,3.9,340,Good
127,Cafe Piano - The Grand Bhagwati,The Grand Bhagwati,22.77435421,75.93594901,"North Indian, Italian",1500,4.1,142,Very Good
128,Kava - Fairfield by Marriott,Fairfield By Marriott,22.74811432,75.90389159,"North Indian, Asian, Italian",1500,3.8,187,Good
129,54 Praangan - Indore Marriott Hotel,"Indore Marriott Hotel, Vijay Nagar",22.75317329,75.88336229,"Awadhi, North Indian",1500,4.4,82,Very Good
130,Indore Baking Company - Indore Marriott Hotel,"Indore Marriott Hotel, Vijay Nagar",22.7528774,75.88345349,Bakery,1500,4.4,197,Very Good
131,Calypso,"C21 Mall, Vijay Nagar",22.74406688,75.89423329,"North Indian, Chinese, Continental",1500,3.9,206,Good
132,The Beer Cafe,Vijay Nagar,22.75403406,75.89983173,"Finger Food, Bar Food, Pizza",1500,4,135,Very Good
133,Good Old Days - Hotel Effotel,"Hotel Effotel, Vijay Nagar",22.7500372,75.90347551,"North Indian, Asian, Street Food",1500,4.2,107,Very Good
134,Agent Jack's Bar,Vijay Nagar,22.75494646,75.89620605,"Italian, North Indian",1500,4,63,Very Good
135,Tipsy Tales Bar Terminal,Vijay Nagar,22.74729495,75.89710157,"Chinese, Italian, Continental",1500,3.5,38,Good
136,Level 3,"Mangal City Mall, Vijay Nagar",22.7527627,75.89626674,"North Indian, Finger Food, Mughlai",1500,3.4,138,Average
137,Mirchi and Mime,South Tukoganj,22.71705512,75.87698936,"North Indian, Mughlai",1500,4,59,Very Good
138,Trance The Pub,Vijay Nagar,22.74625449,75.89254651,"North Indian, Finger Food",1500,3.9,114,Good
139,The Eighteen Fine Dine Lounge,Vijay Nagar,22.74558569,75.89346115,"North Indian, Continental, Modern Indian",1500,4.1,66,Very Good
140,"Dakku,s",New Palasia,22.72524642,75.88357452,"North Indian, Mughlai, Chinese, Fast Food",1500,3.5,98,Good
141,Glazz,New Palasia,22.72517993,75.88274572,"North Indian, Italian",1500,3.2,70,Average
142,Courtyard - Crescent Spa & Resorts,Crescent Spa & Resorts,22.67550969,75.93203701,"North Indian, Chinese",1500,4,60,Very Good
143,Quorum - Sayaji Hotel,"Sayaji Hotel, Vijay Nagar",22.75244733,75.88778928,"Finger Food, North Indian, Continental",1500,3.7,101,Good
144,High Ball - Hotel Best Western Plus,"Hotel Best Western Plus O2, South Tukoganj",22.71751716,75.87470714,"Finger Food, North Indian",1500,3.8,90,Good
145,Ego,Old Palasia,22.72272602,75.88679854,"North Indian, Chinese",1500,3.8,77,Good
146,Diamante - Indore Marriott Hotel,"Indore Marriott Hotel, Vijay Nagar",22.7532914,75.88702317,"Continental, North Indian, Finger Food",1500,3.7,28,Good
147,99 Degrees & Rising - Sayaji Hotel,"Sayaji Hotel, Vijay Nagar",22.75244949,75.88778894,"North Indian, Chinese, Pizza, Continental",1500,3.8,36,Good
148,Addiction Rooftop Bar By Solaris,Bhawar Kuan,22.68101805,75.8577995,North Indian,1500,3.6,18,Good
149,Slounge - Lemon Tree Hotel,"Lemon Tree Hotel, RNT Marg",22.71807106,75.87279674,Finger Food,1500,3.6,44,Good
150,Osmium Lounge,"Sapna Sangeeta Mall, Sapna Sangeeta",22.69899772,75.86714499,"North Indian, Chinese, Bar Food, Asian",1500,3.4,41,Average
151,Brix & Barrels,Bhawar Kuan,22.69574871,75.86584277,"North Indian, Mughlai, Continental",1500,3.1,12,Average
152,Taberna - The Cafe Bar,Vijay Nagar,22.74522609,75.90370987,"Italian, North Indian, Chinese",1400,4.4,722,Very Good
153,Stars N Sky,"Infiniti Hotel, Vijay Nagar",22.75004276,75.9034745,"North Indian, Chinese, Mughlai",1400,4.6,1356,Excellent
154,Opium Bar By The Roof,"Infiniti Hotel, Vijay Nagar",22.75003751,75.90347484,"Finger Food, North Indian",1400,4.4,749,Very Good
155,Little Italy,Vijay Nagar,22.76269245,75.88230081,"Italian, Mexican",1400,4.5,329,Excellent
156,Golden Oven,"Hotel Best Western Plus O2, South Tukoganj",22.71765726,75.87460253,"North Indian, Chinese, Continental",1400,3.7,123,Good
157,Spiritual Pub & Restaurant,Rau,22.606804,75.794497,"North Indian, Chinese, Italian, Continental",1400,3.4,6,Average
158,Big Shot Bar - Country Inn & Suites by Radisson,"Country Inn & Suites By Radisson, Vijay Nagar",22.74749283,75.89551136,Bar Food,1400,3.2,49,Average
159,Beeji Restaurant,Kothari Market,22.71983076,75.8651692,"North Indian, Chinese",1400,3.6,31,Good
160,Classic Bar & Restaurant,YN Road,22.72095059,75.87418411,"North Indian, Chinese",1400,3.3,17,Average
161,Lancer Cocktail Lounge,"Hotel Crown Palace, South Tukoganj",22.71953572,75.8837254,"North Indian, Mughlai, Continental, Chinese",1400,3.3,8,Average
162,Signature Boutique Hotel,By Pass Road (North),22.71241202,75.92131756,"North Indian, Chinese",1400,3,7,Average
163,Bollywood Theka,"Infiniti Hotel, Vijay Nagar",22.75004369,75.90347618,"North Indian, Fast Food, Finger Food",1300,4.4,1119,Very Good
164,Hill's View - Papaya Tree Hotel,Papaya Tree Hotel,22.62661557,75.8053707,"North Indian, Chinese, Italian",1300,4.4,414,Very Good
165,Echidna Restobrew,By Pass Road (North),22.70342012,75.92138864,"Mediterranean, Asian, North Indian",1300,3.5,363,Good
166,Quenchyard,By Pass Road (South),22.70234345,75.92106812,"North Indian, Chinese",1300,4.1,136,Very Good
167,The Cliff Restaurant & Bar,Vijay Nagar,22.74372397,75.89740802,"North Indian, Chinese",1300,2.5,98,Average
168,Zest - Papaya Tree Hotel,Papaya Tree Hotel,22.62658152,75.80537673,"North Indian, Chinese, Italian",1300,3.8,142,Good
169,Salt and Pepper,"Hotel Amar Vilas, Press Complex",22.74170329,75.89275874,"North Indian, Chinese, Continental",1300,3.4,78,Average
170,Couple Lounge,"Hotel Amar Vilas, Press Complex",22.7417339,75.89273728,"North Indian, Chinese, Continental",1300,3.7,65,Good
171,Jonathan's Grill & Barbeque,By Pass Road (North),22.71445324,75.93053263,"North Indian, BBQ",1300,3.8,24,Good
172,White House,Old Palasia,22.72526342,75.89405291,"North Indian, Chinese",1300,3.4,48,Average
173,Boozer's Bar,Sudama Nagar,22.68351385,75.83481364,"North Indian, Chinese",1300,3.3,27,Average
174,Sapna Bar And Restaurant,Mari Mata Square,22.72710406,75.84136527,North Indian,1300,3,6,Average
175,The Cube - Hotel Effotel,"Hotel Effotel, Vijay Nagar",22.75003751,75.90347484,"North Indian, Chinese, Italian",1200,4.8,518,Excellent
176,Tic Tac Toe,Vijay Nagar,22.75577104,75.89530483,"North Indian, Chinese, Fast Food",1200,4.4,418,Very Good
177,Fagun Restaurant,Vijay Nagar,22.78655993,75.90615269,"North Indian, Continental, Chinese",1200,4.3,453,Very Good
178,Capers - Hotel Effotel,"Hotel Effotel, Vijay Nagar",22.7500372,75.90347786,"North Indian, Italian, Chinese, Continental",1200,4.5,419,Excellent
179,Hotel Shreemaya Residency,"Hotel Shreemaya Residency, Press Complex",22.73866372,75.89178879,"North Indian, Chinese, Continental",1200,4.2,230,Very Good
180,The Piano Project,Vijay Nagar,22.7498053,75.89648098,"North Indian, Mughlai",1200,4.3,125,Very Good
181,City Gymkhana Club,Sapna Sangeeta,22.70416521,75.85996941,North Indian,1200,3.9,168,Good
182,Citrus Cafe,"Lemon Tree Hotel, RNT Marg",22.71806858,75.87280814,"North Indian, Italian, Chinese, Cafe",1200,3.6,96,Good
183,Livup Cafebar & Lounge,Vijay Nagar,22.74546788,75.89418266,"North Indian, South Indian, Chinese, Cafe, Beverages",1200,3.7,73,Good
184,Mosaic - Country Inn & Suites by Radisson,"Country Inn & Suites By Radisson, Vijay Nagar",22.74742326,75.89554355,"North Indian, Continental, American",1200,4,92,Very Good
185,Hotel Kanchan,South Tukoganj,22.71640442,75.87651126,"North Indian, Chinese",1200,3.8,95,Good
186,The Arch - Golden Gate,"Golden Gate, Vijay Nagar",22.75639712,75.89281306,"North Indian, Chinese",1200,3.4,71,Average
187,60 ML,Annapurna Road,22.6864337,75.83635926,North Indian,1200,3.7,50,Good
188,Exotica The Lounge Bar - Crescent Spa & Resorts,Crescent Spa & Resorts,22.67552485,75.93203031,"Finger Food, Continental",1200,3.5,58,Good
189,District 11,"Malhar Mega Mall, Vijay Nagar",22.74097881,75.89498799,"North Indian, Italian, Mexican",1200,3.4,49,Average
190,Shack Pool Bar & Grill - Crescent Spa & Resorts,Crescent Spa & Resorts,22.67551897,75.93203098,"North Indian, Italian, Finger Food",1200,3.7,34,Good
191,The Lounge Bar - Hotel Amar Vilas,"Hotel Amar Vilas, Press Complex",22.74171473,75.89275103,"North Indian, Chinese",1200,3.6,42,Good
192,The Tipsy Buffalo,By Pass Road (North),22.71452839,75.93052324,"Finger Food, North Indian",1200,3.5,14,Good
193,Sundown - Solaris Club,Bhawar Kuan,22.68101558,75.85780486,"North Indian, Chinese",1200,3.3,27,Average
194,O2 Club & Lounge,South Tukoganj,22.71749026,75.87471485,"Chinese, North Indian, Continental",1200,3.7,24,Good
195,Blue Dip - Golden Gate,"Golden Gate, Vijay Nagar",22.75628829,75.89301255,"North Indian, Chinese",1200,2.9,18,Average
196,Smaaash,South Tukoganj,22.72087884,75.87862417,Finger Food,1200,3.4,13,Average
197,Chasers Pub & Restaurant,RNT Marg,22.71401036,75.87368589,North Indian,1200,2.8,14,Average
198,Masala Craft - Regenta Central Hotel,"Regenta Central, By Pass North",22.78225552,75.9358196,North Indian,1200,3.1,7,Average
200,Lal Balti Ki Kachori,Jail Road,22.73500748,75.8909734,Street Food,50,4,452,Very Good
201,Lal Balti Ki Kachori,Rajendra Nagar,22.66810836,75.82680456,Street Food,50,3.8,51,Good
204,Rasgulla House,Geeta Bhavan,22.7185767,75.88595599,Mithai,100,4.3,829,Very Good
205,Vijay Chaat House,"56 Dukan, New Palasia",22.72373604,75.88471279,Street Food,100,4.8,598,Excellent
206,Ravi Alpahar,Old Palasia,22.72695407,75.89435935,Street Food,100,4.3,642,Very Good
207,Vijay Chaat House,Sarafa Bazaar,22.71791581,75.85330613,Street Food,100,4.4,613,Very Good
208,Joshi Dahi Bada House,Sarafa Bazaar,22.71792818,75.85213333,Street Food,100,4.9,686,Excellent
209,Swadisht Samosa Corner,Sarafa Bazaar,22.71790405,75.85330646,Street Food,100,3.9,128,Good
210,Jagdeesh Sweets,Jail Road,22.72352,75.862416,"Street Food, Mithai",100,3.7,129,Good
211,Ravi Alpahar,Kothari Market,22.72057978,75.85990001,Street Food,100,3.9,120,Good
212,JSK Sweets & Restaurant,Rau,22.63723556,75.81116159,"Mithai, Street Food",100,3.7,94,Good
213,Punjabi Dhaba,Bhawar Kuan,22.6852443,75.86401083,North Indian,100,3.2,54,Average
214,Chanchal Namkeen,Gangwal Bus Stand,22.71524961,75.8428482,"Bakery, Mithai, Street Food",100,3.8,92,Good
215,Bombay Bakery,Chhavani,22.70956479,75.87840758,"Bakery, Street Food",100,3.5,68,Good
216,Sawariya Seth Khichdi,Sarafa Bazaar,22.71783138,75.85112918,North Indian,100,3.6,55,Good
217,Ramesh South Indian,Bhawar Kuan,22.68242125,75.87502196,South Indian,100,3.8,61,Good
218,Shubham Chinese Point,MR 10 Road,22.75593058,75.87740578,Chinese,100,3,56,Average
219,Goli Vada Pav No. 1,Annapurna Road,22.69606174,75.83495814,"Street Food, Maharashtrian",100,3.3,55,Average
220,Mittal Kachori,Malharganj,22.71960778,75.84527224,Fast Food,100,3.6,42,Good
221,Vadilal Ice Cream,Sapna Sangeeta,22.70105088,75.869448,"Desserts, Ice Cream",100,3.4,45,Average
222,Bombay Bhel,"Malhar Mega Mall, Vijay Nagar",22.7447159,75.89440495,Street Food,100,2.8,28,Average
223,Guptaji Paratha House,Bhawar Kuan,22.69545115,75.8660711,North Indian,100,3.6,22,Good
224,Honey Pizza,Sarafa Bazaar,22.71787715,75.85212998,"Pizza, Fast Food",100,2.8,44,Average
225,Mr. Bhel Bhandari,Malharganj,22.71967242,75.84628109,Street Food,100,3.5,18,Good
